FID,temakode,temanavn,systid_fra,systid_til,oprettet,cvr_kode,cvr_navn,bruger_id,oprindkode,oprindelse,statuskode,status,link,type,navn,laengde,Geometry_SPA,Geometry
CYKELRUTER.4,0,,2012-04-03,,2012-04-03,29189640,Silkeborg Kommune,skc,4,FOT/Teknisk kort,3,Gældende/Vedtaget,,Rute 11,,,"LINESTRING (528726.41 6222564.07, 528768.84 6222571.64, 528794.83 6222576.59, 528817.92 6222580.77, 528862.03 6222589.06, 528904.67 6222595.9, 528949.43 6222602.01, 528997.46 6222607.51, 529037.35 6222611.32, 529078.51 6222615.13, 529135.36 6222619.24, 529208.23 6222623.89, 529296.79 6222628.42, 529380.42 6222633.36, 529422.25 6222637.54, 529464.33 6222643.45)",
CYKELRUTER.5,0,,2012-04-03,,2012-04-03,29189640,Silkeborg Kommune,skc,4,FOT/Teknisk kort,3,Gældende/Vedtaget,,Rute 11,,,"LINESTRING (529464.33 6222643.45, 529490.49 6222643.5, 529529.02 6222650.69, 529559.16 6222658.15, 529612.02 6222674.35, 529658.86 6222689.39, 529681.97 6222696.31, 529715.16 6222708.66, 529746.02 6222723.31, 529767.85 6222734.79, 529791.3200000001 6222747.7, 529822.05 6222765.13, 529851 6222782.23, 529881.56 6222801.78, 529893.5 6222809.99, 529909.1900000001 6222820.81)",
CYKELRUTER.6,0,,2012-04-03,,2012-04-03,29189640,Silkeborg Kommune,skc,4,FOT/Teknisk kort,3,Gældende/Vedtaget,,Rute 11,,,"LINESTRING (529464.33 6222643.45, 529473.4 6222645.84, 529505.52 6222654.28, 529548.26 6222665.53, 529588.26 6222678.02, 529644.74 6222695.79, 529654.84 6222698.97, 529671.51 6222704.64, 529684.27 6222709.55, 529695.62 6222713.92, 529722.6 6222726.56, 529741.27 6222735.57, 529764.73 6222746.38, 529782.96 6222755.8, 529799.97 6222764.42, 529817.95 6222774.32, 529839.34 6222786.47, 529862.0700000001 6222800.42, 529884.87 6222814.7, 529903.12 6222827.26)",
